date,description,amount,category,client
2026-03-24,Client Gamma invoice payment,2646.79,Revenue,Client Gamma
2026-01-13,Client Beta invoice payment,3475.16,Revenue,Client Beta
2026-01-25,Google Ads marketing,-302.27,Marketing,
2026-05-10,Office rent,-819.25,Rent,
2026-04-22,AWS cloud infrastructure,-157.15,Infrastructure,
2026-01-24,Project management software,-48.51,Software,
2026-07-31,Team salary payroll,-1514.45,Payroll,
2026-02-27,Business travel fuel,-147.99,Travel,
2026-01-16,Team salary payroll,-1773.49,Payroll,
2026-01-13,Office rent,-822.1,Rent,
2026-08-08,Client Gamma invoice payment,2553.04,Revenue,Client Gamma
2026-02-06,Project management software,-43.55,Software,
2026-03-20,Project management software,-54.85,Software,
2026-02-16,Client Beta invoice payment,3229.98,Revenue,Client Beta
2026-06-13,Office rent,-924.25,Rent,
2026-05-21,Client dinner restaurant,-74.01,Meals,Client Alpha
2026-01-16,Team salary payroll,-1560.54,Payroll,
2026-06-24,Project management software,-48.56,Software,
2026-03-22,Canva subscription,-15.65,Software,
2026-04-27,Google Ads marketing,-275.19,Marketing,
2026-07-23,Client Gamma invoice payment,2917.8,Revenue,Client Gamma
2026-03-04,Client Beta invoice payment,3222.64,Revenue,Client Beta
2026-05-15,Canva subscription,-17.08,Software,
2026-07-06,Canva subscription,-14.18,Software,
2026-01-19,Client Beta invoice payment,3158.71,Revenue,Client Beta
2026-02-12,Internet utilities,-91.47,Utilities,
2026-05-06,AWS cloud infrastructure,-155.33,Infrastructure,
2026-06-21,Client Beta invoice payment,3417.16,Revenue,Client Beta
2026-05-27,Internet utilities,-108.2,Utilities,
2026-03-22,Google Ads marketing,-313.04,Marketing,
2026-06-02,Canva subscription,-15.62,Software,
2026-04-27,Client Beta invoice payment,3494.29,Revenue,Client Beta
2026-03-11,Canva subscription,-16.2,Software,
2026-01-17,Client Alpha invoice payment,4583.39,Revenue,Client Alpha
2026-03-21,Business travel fuel,-145.7,Travel,
2026-06-24,Canva subscription,-14.16,Software,
2026-04-09,Business travel fuel,-135.03,Travel,
2026-04-29,Google Ads marketing,-262.58,Marketing,
2026-01-30,Canva subscription,-13.04,Software,
2026-07-16,Google Ads marketing,-285.66,Marketing,
2026-03-05,AWS cloud infrastructure,-176.22,Infrastructure,
2026-08-12,Canva subscription,-13.15,Software,
2026-04-25,AWS cloud infrastructure,-185.64,Infrastructure,
2026-08-15,Client Gamma invoice payment,3024.98,Revenue,Client Gamma
2026-08-10,Project management software,-7800,Software,
2026-04-02,Business travel fuel,-159.85,Travel,
2026-03-01,Client Gamma invoice payment,2368.94,Revenue,Client Gamma
2026-02-08,Office rent,-1013.94,Rent,
2026-01-04,Canva subscription,-16.86,Software,
2026-02-16,Google Ads marketing,-301.77,Marketing,
2026-02-07,AWS cloud infrastructure,-184.75,Infrastructure,
2026-06-06,Team salary payroll,-1623.74,Payroll,
2026-02-02,Client dinner restaurant,-96.35,Meals,Client Alpha
2026-06-08,Business travel fuel,-150.24,Travel,
2026-01-14,Canva subscription,-17.2,Software,
2026-07-19,Business travel fuel,-155.86,Travel,
2026-04-11,AWS cloud infrastructure,-176.7,Infrastructure,
2026-01-27,Canva subscription,-15.89,Software,
2026-01-16,Office rent,-828.61,Rent,
2026-02-23,Canva subscription,-13.55,Software,
2026-03-29,Team salary payroll,-1474.49,Payroll,
2026-01-01,Team salary payroll,-1529.86,Payroll,
2026-01-26,Google Ads marketing,-305.23,Marketing,
2026-01-19,Office rent,-1000.01,Rent,
2026-02-08,Business travel fuel,-130.65,Travel,
2026-03-30,Team salary payroll,-1649.3,Payroll,
2026-02-01,Client Beta invoice payment,3503.46,Revenue,Client Beta
2026-04-30,Canva subscription,-15.14,Software,
2026-01-22,Client Gamma invoice payment,2386.05,Revenue,Client Gamma
2026-03-29,Client dinner restaurant,-79.68,Meals,Client Alpha
2026-08-01,Client dinner restaurant,-76.78,Meals,Client Alpha
2026-01-06,Office rent,-1105.63,Rent,
2026-05-16,Google Ads marketing,-260.53,Marketing,
2026-05-20,Client Alpha invoice payment,4620.79,Revenue,Client Alpha
2026-03-18,Business travel fuel,-158.89,Travel,
2026-06-28,Google Ads marketing,-326.74,Marketing,
2026-02-12,Google Ads marketing,-320.37,Marketing,
2026-05-17,Project management software,-54.25,Software,
2026-03-26,Business travel fuel,-129.3,Travel,
2026-07-27,Internet utilities,-111.63,Utilities,
2026-08-07,Office rent,-1060.21,Rent,
2026-07-29,AWS cloud infrastructure,-196.95,Infrastructure,
2026-02-28,Office rent,-969.78,Rent,
2026-04-02,Client dinner restaurant,-73.06,Meals,Client Alpha
2026-01-08,Internet utilities,-89.51,Utilities,
2026-03-08,Office rent,-1024.61,Rent,
2026-03-30,Canva subscription,-16.75,Software,
2026-07-05,Google Ads marketing,-337.89,Marketing,
2026-04-04,Client Beta invoice payment,2860.53,Revenue,Client Beta
2026-02-28,Canva subscription,-13.72,Software,
2026-02-22,Canva subscription,-15.84,Software,
2026-08-19,Team salary payroll,-1916.48,Payroll,
2026-05-03,Business travel fuel,-134.89,Travel,
2026-06-14,Client Beta invoice payment,3488.85,Revenue,Client Beta
